id,name,description
L001,"L001: New Guinea, Papuan Language Stocks (Western New Guinea Area)",
L002,"L002: Indonesia, Iran Jaya, Western",
L003,"L003: Indonesia, Irian Jaya, North-Eastern",
L004,"L004: Indonesia, Irian Jaya, South-Eastern",
L005,"L005: New Guinea, Papuan Language Stocks (Eastern New Guinea Area)",
L006,"L006: New Guinea, Sepik Provinces",
L007,"L007: New Guinea, Madan Province",
L008,"L008: New Guinea, Morobe Province",
L009,"L009: New Guinea, Northern Province",
L010,"L010: New Guinea, Milne Bay Province",
L011,"L011: New Guinea, Southern Highlands",
L012,"L012: New Guinea, Western Province",
L013,L013: New Britain,
L014,L014: New Ireland and Admiralty Islands,
L015,L015: Solomon Islands and Bougainville,
L016a,L016a: Vanuatu (New Hebrides) - Overview,
L016b,L016b: Vanuatu (New Hebrides) - Detail,
L017,L017: New Caledonia,
L018,L018: Micronesia,
L019a,"L019a: Polynesia, Eastern part of",
L019b,"L019b: Polynesia, Western part of",
L020,"L020: Australia, Western part of",
L021,"L021: Australia, South-Eastern",
L022,"L022: Australia, Eastern Part of",
L023,"L023: Australia, Northern",
L030,"L030: Taiwan (Formosa), Austronesian Languages",
L031,L031: Philippines,
L032,"L032: Philippines, Northern",
L033,"L033: Philippines, Central",
L034,"L034: Philippines, Southern",
L035,L035: Mainland S.E. Asia(North) & Hainan,
L036,L036: Mainland S.E. Asia(South),
L037,"L037: Malaysia, Peninsular",
L038,"L038: Indonesia, Sumatra",
L039,"L039: Indonesia, Java and Bali",
L040a,L040a: Lesser Sunda Islands and Timor (North),
L040b,L040b: Lesser Sunda Islands and Timor (South),
L041,"L041: Borneo, Northern part",
L042,"L042: Borneo, Southern part",
L043,"L043: Indonesia, Celebes (Sulawesi), Northern",
L044,"L044: Indonesia, Celebes (Sulawesi), Southern",
L045a,"L045a: Indonesia, Moluccas (Maluku)",
L045b,"L045b: Indonesia, Moluccas, Seram Island Area",
L032_batan,L032: Batan and Babuyan Islands,
L002_yapen,L002: Yapen Island,
L013_fix,L013: Corrections,
L037_nicobars,L037: Nicobar Islands,
L019_tuamotu,L019: Tuamotu Archipelago,
L044_flores_sea,L044: Flores Sea,
L007_fix,L007: Corrections,
L045b_banda,L045b: Banda Islands,
L040b_roti,L040b: Roti,
L012_fix,L012: Corrections,
L045a_fix,L045a: Corrections,
L011_fix,L011: Corrections,
L043_fix,L043: Corrections,
L009_dentrecastaux,L009: D'Entrecasteaux Islands,
L037_andamans,L037: Andaman Islands,
L009_fix,L009: Corrections,
L045a_buru,L045a: Buru,
L003_fix,L003: Corrections,
L016b_fix,L016b: Corrections,
L004_kai,L004: Kai Islands,
L010_add,L010: Additions,
L014_admiralty,L014: Admiralty Islands,
L045a_sula,L045a: Sula Islands,
L016a_fix,L016a: Corrections,
L002_fix,L002: Corrections,
L045b_watubela,L045b: Watubela Archipelago,
L019b_fiji,L019b: Fiji,
L019_fix,L019: Corrections,
L004_aru,L004: Aru Islands,
L006_fix,L006: Corrections,
L004_fix,L004: Corrections,
L038_fix,L038: Corrections,
L038_madagascar,L038: Malagasy Republic,
L015_fix,L015: Corrections,
L018_fix,L018: Corrections,
L008_fix,L008: Corrections,
L043_talaud,L043: Talaud and Sangihe Islands,
L015_santa_cruz,L015: Santa Cruz Islands,
