AIBONDENI,aibo1237
AMBAI Ambai,nucl1466
AMBAI Randawaya,rand1239
AMBAI Sumberbaba,amba1265
ANSUS,ansu1237
APUMA,papu1251
BIAK,biak1248
BUSAMI Kamanap,busa1254
BUSAMI Kaonda,busa1254
BUSAMI Sasawa,busa1254
MARAU Marau,mara1397
MARAU Natabui,mara1397
MARAU Warabori,wara1296
MUNGGUI Morui,mung1269
MUNGGUI Munggui,mung1269
POM,pomm1237
S. Halmahera - N.W. New Guinea Group,sout3229
SERUI-LAUT,seru1244
WABO Northeast,wabo1240
WABO Southeast,wabo1240
WABO West,wabo1240
WADAPI-LAUT,amba1265
WOI,woii1237
YAVA Ariepi,nucl1454
YAVA Central,cent2052
YAVA Konti-Unai,nucl1454
YAVA Mantembu,nucl1454
YAVA Mariadei,nucl1454
YAVA North,nort2825
YAVA Northeast,nucl1454
YAVA Sarawandori,nucl1454
YAVA Saweru,sawe1240
YAVA Tarau,nucl1454
YAVA Tatui,nucl1454
YAVA Wadapi-Darat,nucl1454
YAVA Yapanani-Borai,nucl1454
