ANDRA-HUS,andr1248
Austronesian,aust1307
BALUAN-LOU-PAM,loup1244
BOHUAI,bohu1238
EMIRA-MUSSAU Emira,emir1237
EMIRA-MUSSAU Mussau,muss1248
ERE-LELE-GELE-KURUTI Ere,eree1241
ERE-LELE-GELE-KURUTI Gele,kele1258
ERE-LELE-GELE-KURUTI Koro,bowa1234
ERE-LELE-GELE-KURUTI Kuruti,kurt1250
ERE-LELE-GELE-KURUTI Lele,lele1270
HERMIT,herm1237
KANIET,kani1282
LEIPON,leip1237
LENKAU,lenk1247
LEVEI-TULU Chechek,kheh1237
LEVEI-TULU Lebej,leve1237
LIKUM,liku1243
LINDROU,nyin1250
LONIU,loni1238
MOKERANG,moke1240
MONDROPOLON,mond1265
NALI,nali1245
NANE,
NAUNA,naun1237
OKRO,okro1237
PAK-TONG,pakt1239
PAPITALAI,papi1254
PENCHAL,penc1239
PONAM,pona1250
SEIMAT,seim1238
SISI/BIPI,bipi1237
SORI/HARENGAN,sori1242
TITAN,tita1241
WUVULU-AUA,wuvu1239
