AKEI,akei1237
AMBLONG,ambl1237
AORE,aore1237
APMA,apma1240
ARAKI,arak1252
ATCHIN,atch1238
AULUA,aulu1238
AXAMB,axam1237
BAETORA,baet1237
BAKI,baki1244
BIEREBO,bier1244
BIERIA,bier1246
BIG NAMBAS,bign1238
BURMBAR,burm1263
BUTMAS-TUR,butm1237
CENTRAL MAEWO,cent2058
DAKAKA,daka1243
DIXON REEF,dixo1238
EMAE,emae1237
FILA-MELE,mele1250
FORTSENAL,fort1240
KATBOL,katb1237
LABO,labo1244
LAMETIN,mere1242
LAREVAT,lare1249
LETEMBOI,lete1242
LEWO,lewo1242
LINGARAK,ling1265
LITZLITZ,litz1237
LONWOLWOL,lonw1238
LOREDIAKARKAR,lore1244
MAE,maee1241
MAFEA,mafe1237
MAII,maii1238
MALFAXAL,malf1237
MALMARIV,mere1242
MALO,malo1243
MALUA BAY,malu1245
MARAGUS,mara1399
MARINO,mari1426
MASKELYNES,mask1242
MORUAS,moro1286
MPOTOVORO,mpot1241
NAMAKURAN,nama1268
NAMAKURAN Buninga,buni1245
NAMAKURAN Makura,maku1276
NAMAKURAN Mataso,mata1250
NAMAKURAN Tongariki,tong1322
NAMAKURAN Tongoa,tong1323
NARANGO,nara1263
NASARIAN,nasa1240
NAVUT,navu1237
NDUINDUI,ndui1237
NOKUKU,noku1237
NORTH AMBRYM,nort2839
NORTH EAST AOBAN,east2443
NORTH EFATE,nort2836
PAAMA,paam1238
PIAMATSINA,piam1242
POLONOMBAUK,polo1242
PORT SANDWICH,port1285
PORT VATO,port1286
RAGA,hano1246
REPANBITIP,repa1237
REREP,rere1240
RORIA,rori1237
SA,saaa1241
SAKAO,port1296
SEKE,seke1241
SHARK BAY,shar1251
SOUTH EFATE,sout3196
SOUTH-EAST AMBRYM,sout2859
SOUTH-WEST BAY,sout2857
SOWA,sowa1244
TAMBOTALO,tamb1253
TANGOA,tang1347
TASMATE,tasm1246
TOLOMAKO,tolo1255
TUTUBA,tutu1241
UNUA,unua1237
URIPIV-WALA-RANO Rano,wala1267
URIPIV-WALA-RANO Uripiv,urip1240
URIPIV-WALA-RANO Wala,wala1267
URIPIV_WALA_RANO,urip1239
VALPEI,valp1237
VAO,vaoo1237
VINMAVIS,wini1242
VOVO,vovo1238
VUNAPU,vuna1239
WAILAPA,wail1242
WUSI,wusi1237
