AUSTRAL Raivavae,raiv1237
AUSTRAL Rimatara,rima1237
AUSTRAL Rurutu,ruru1237
AUSTRAL Tubuai,tubu1240
COOK ISLANDS MAORI (RAROTONGAN),raro1241
COOK ISLANDS MAORI (RAROTONGAN) Aitutaki,aitu1237
COOK ISLANDS MAORI (RAROTONGAN) Atiu,atiu1237
COOK ISLANDS MAORI (RAROTONGAN) Mauke,mauk1238
COOK ISLANDS MAORI (RAROTONGAN) Mitiaro,miti1242
COOK ISLANDS MAORI (RAROTONGAN) Rarotonga,raro1242
EASTER ISLAND,rapa1244
MANGAREVA,mang1401
NORTH MARQUESAN,nort2845
PA'UMOTU (TUAMOTUAN),tuam1242
SOUTH MARQUESAN,sout2866
